2021-09-06 10:27:46.670 +06:00 [INF] Application Starting up
2021-09-06 10:28:11.767 +06:00 [INF] Worker running at: "2021-09-06T10:28:11.7564856+06:00"
2021-09-06 10:29:31.320 +06:00 [INF] Worker running at: "2021-09-06T10:29:31.3203441+06:00"
2021-09-06 10:30:41.754 +06:00 [INF] Worker running at: "2021-09-06T10:30:41.7546797+06:00"
2021-09-06 10:31:53.477 +06:00 [INF] Worker running at: "2021-09-06T10:31:53.4777253+06:00"
2021-09-06 10:33:07.429 +06:00 [INF] Worker running at: "2021-09-06T10:33:07.4295002+06:00"
2021-09-06 10:34:26.052 +06:00 [INF] Worker running at: "2021-09-06T10:34:26.0523760+06:00"
2021-09-06 10:35:44.013 +06:00 [INF] Worker running at: "2021-09-06T10:35:44.0133203+06:00"
2021-09-06 10:37:04.248 +06:00 [INF] Worker running at: "2021-09-06T10:37:04.2485344+06:00"
2021-09-06 10:38:21.606 +06:00 [INF] Worker running at: "2021-09-06T10:38:21.6064850+06:00"
2021-09-06 10:39:42.064 +06:00 [INF] Worker running at: "2021-09-06T10:39:42.0644236+06:00"
2021-09-06 10:41:03.980 +06:00 [INF] Worker running at: "2021-09-06T10:41:03.9807648+06:00"
2021-09-06 10:42:23.899 +06:00 [INF] Worker running at: "2021-09-06T10:42:23.8990343+06:00"
2021-09-06 10:43:49.060 +06:00 [INF] Worker running at: "2021-09-06T10:43:49.0608649+06:00"
2021-09-06 10:45:13.218 +06:00 [INF] Worker running at: "2021-09-06T10:45:13.2179641+06:00"
2021-09-06 10:46:38.215 +06:00 [INF] Worker running at: "2021-09-06T10:46:38.2154488+06:00"
2021-09-06 10:48:07.168 +06:00 [INF] Worker running at: "2021-09-06T10:48:07.1680320+06:00"
2021-09-06 10:49:38.787 +06:00 [INF] Worker running at: "2021-09-06T10:49:38.7879531+06:00"
2021-09-06 10:51:12.618 +06:00 [INF] Worker running at: "2021-09-06T10:51:12.6186536+06:00"
2021-09-06 10:52:59.559 +06:00 [INF] Worker running at: "2021-09-06T10:52:59.5589919+06:00"
2021-09-06 10:55:23.282 +06:00 [INF] Worker running at: "2021-09-06T10:55:23.2824716+06:00"
2021-09-06 10:57:29.897 +06:00 [INF] Worker running at: "2021-09-06T10:57:29.8973075+06:00"
2021-09-06 10:59:16.851 +06:00 [INF] Worker running at: "2021-09-06T10:59:16.8511786+06:00"
2021-09-06 11:01:09.112 +06:00 [INF] Worker running at: "2021-09-06T11:01:09.1124088+06:00"
2021-09-06 11:03:04.228 +06:00 [INF] Worker running at: "2021-09-06T11:03:04.2281641+06:00"
2021-09-06 11:05:03.583 +06:00 [INF] Worker running at: "2021-09-06T11:05:03.5830612+06:00"
2021-09-06 11:07:17.096 +06:00 [INF] Worker running at: "2021-09-06T11:07:17.0964642+06:00"
2021-09-06 11:09:26.298 +06:00 [INF] Worker running at: "2021-09-06T11:09:26.2988715+06:00"
2021-09-06 11:11:40.454 +06:00 [INF] Worker running at: "2021-09-06T11:11:40.4542894+06:00"
2021-09-06 11:13:28.938 +06:00 [INF] Worker running at: "2021-09-06T11:13:28.9384094+06:00"
2021-09-06 11:15:20.406 +06:00 [INF] Worker running at: "2021-09-06T11:15:20.4060733+06:00"
2021-09-06 11:17:14.817 +06:00 [INF] Worker running at: "2021-09-06T11:17:14.8178375+06:00"
2021-09-06 11:19:15.937 +06:00 [INF] Worker running at: "2021-09-06T11:19:15.9372391+06:00"
2021-09-06 11:21:11.783 +06:00 [INF] Worker running at: "2021-09-06T11:21:11.7837267+06:00"
2021-09-06 11:23:08.683 +06:00 [INF] Worker running at: "2021-09-06T11:23:08.6838378+06:00"
2021-09-06 11:25:17.087 +06:00 [INF] Worker running at: "2021-09-06T11:25:17.0879703+06:00"
